Date,Open,High,Low,Close,Volume,Adj Close
2010-01-26,61.80,62.40,61.80,61.80,000,61.79
2010-01-25,61.70,62.40,61.70,61.70,000,61.69
2010-01-22,61.70,62.40,61.70,61.70,000,61.69
2010-01-21,62.40,62.40,62.40,62.40,150000,62.39
2010-01-20,61.80,62.40,61.80,61.80,000,61.79
2010-01-19,61.90,61.90,61.80,61.80,205100,61.79
2010-01-18,62.00,62.40,62.00,62.00,000,61.99
2010-01-15,62.40,62.40,62.40,62.40,4800,62.39
2010-01-14,62.40,62.40,61.90,61.90,141000,61.89
2010-01-13,62.20,62.40,62.20,62.40,330000,62.39
2010-01-12,61.50,62.10,61.50,62.10,613000,62.09
2010-01-11,62.00,62.00,62.00,62.00,200000,61.99
2010-01-08,61.50,61.50,61.30,61.30,76000,61.29
2010-01-07,61.50,61.50,61.50,61.50,6700,61.49
2010-01-06,62.40,62.40,62.40,62.40,000,62.39
2010-01-05,62.40,62.40,62.40,62.40,000,62.39
2010-01-04,62.40,62.40,62.40,62.40,000,62.39
2010-01-01,62.40,62.40,62.40,62.40,000,62.39
2009-12-31,62.40,62.40,62.40,62.40,000,62.39
2009-12-30,62.30,62.40,61.80,62.40,1085000,62.39
2009-12-29,62.10,62.20,62.10,62.20,1386800,62.19
2009-12-28,61.60,62.10,61.60,62.10,183000,62.09
2009-12-25,61.90,61.90,61.90,61.90,000,61.89
2009-12-24,61.90,61.90,61.90,61.90,000,61.89
2009-12-23,62.00,62.10,61.70,61.90,255200,61.89
2009-12-22,61.80,61.80,61.80,61.80,11500,61.79
2009-12-21,61.80,61.80,61.80,61.80,13000,61.79
2009-12-18,63.30,63.30,62.00,62.00,616000,61.99
2009-12-17,63.50,63.60,63.50,63.50,2115600,63.49
2009-12-16,63.70,63.70,63.60,63.60,304100,63.59
2009-12-15,63.40,63.70,63.40,63.70,1200000,63.69
2009-12-14,63.50,63.60,63.00,63.00,1580000,62.99
2009-12-11,63.40,63.50,63.30,63.50,444200,63.49
2009-12-10,63.20,63.40,63.10,63.40,826000,63.39
2009-12-09,62.10,63.00,62.10,63.00,1873900,62.99
2009-12-08,62.00,62.10,62.00,62.10,284000,62.09
2009-12-07,61.80,61.80,61.50,61.80,859000,61.79
2009-12-04,63.40,63.40,62.50,62.50,1057000,62.49
2009-12-03,63.50,63.50,63.40,63.40,112000,63.39
2009-12-02,62.70,63.40,62.70,63.40,286000,63.39
2009-12-01,62.00,63.00,61.80,63.00,5347000,62.99
2009-11-30,62.30,62.30,61.60,61.60,2772000,61.59
2009-11-27,62.10,62.30,60.00,61.00,4424200,60.99
2009-11-26,62.50,62.70,62.30,62.30,468000,62.29
2009-11-25,62.70,62.70,61.90,61.90,526500,61.89
2009-11-24,63.00,63.00,62.20,62.20,928000,62.19
2009-11-23,63.50,63.50,62.50,63.00,1296500,62.99
2009-11-20,68.10,68.90,68.10,68.50,705500,68.49
2009-11-19,68.00,68.10,68.00,68.10,119000,68.09
2009-11-18,68.10,68.10,68.00,68.00,505500,67.99
2009-11-17,68.70,68.70,67.90,67.90,532000,67.89
2009-11-16,68.90,68.90,68.30,68.40,408300,68.39
2009-11-13,68.00,68.90,68.00,68.90,1872000,68.89
2009-11-12,66.50,67.40,66.50,67.30,672800,67.29
2009-11-11,65.20,66.20,65.20,66.20,500000,66.19
2009-11-10,66.30,66.30,65.90,65.90,520000,65.89
2009-11-09,67.50,67.50,66.10,66.10,753500,66.09
2009-11-06,68.10,68.10,67.10,67.90,539100,67.89
2009-11-05,70.10,70.10,68.50,68.50,710700,68.49
2009-11-04,70.00,70.30,68.70,69.70,2006000,69.69
2009-11-03,67.90,69.00,67.90,69.00,750300,68.99
